image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1009509_529641_image.jpeg,Hostile,0.5215,0.2412,0.1406,0.5215,0.0968
Sample_Dataset/Reichel/images_with_faces/1009522_529644_image.jpeg,Optimistic,0.9832,0.9832,0.0003,0.0087,0.0078
Sample_Dataset/Reichel/images_with_faces/1009580_529693_image.jpeg,Optimistic,0.9341,0.9341,0.0015,0.0081,0.0562
Sample_Dataset/Reichel/images_with_faces/1009581_529694_image.jpeg,Optimistic,0.858,0.858,0.007,0.0062,0.1287
Sample_Dataset/Reichel/images_with_faces/1009596_529701_image.jpeg,Optimistic,0.7276,0.7276,0.0426,0.0635,0.1663
Sample_Dataset/Reichel/images_with_faces/1009597_529702_image.jpeg,Optimistic,0.9654,0.9654,0.0013,0.0101,0.0232
Sample_Dataset/Reichel/images_with_faces/1009611_529708_image.jpeg,Hostile,0.6054,0.2278,0.0835,0.6054,0.0833
Sample_Dataset/Reichel/images_with_faces/1013149_532839_image.jpeg,Optimistic,0.7759,0.7759,0.0289,0.044,0.1512
Sample_Dataset/Reichel/images_with_faces/1013836_533333_image.jpeg,Neutral,0.6268,0.1828,0.0653,0.1251,0.6268
Sample_Dataset/Reichel/images_with_faces/1013871_533363_image.jpeg,Optimistic,0.5653,0.5653,0.015,0.005,0.4147
Sample_Dataset/Reichel/images_with_faces/1013883_533376_image.jpeg,Unknown,0.3901,0.186,0.1818,0.242,0.3901
Sample_Dataset/Reichel/images_with_faces/1013910_533403_image.jpeg,Neutral,0.8239,0.0659,0.0479,0.0622,0.8239
Sample_Dataset/Reichel/images_with_faces/1013912_533405_image.jpeg,Neutral,0.8658,0.051,0.0091,0.0741,0.8658
Sample_Dataset/Reichel/images_with_faces/1013916_533409_image.jpeg,Neutral,0.7015,0.0141,0.2494,0.035,0.7015
Sample_Dataset/Reichel/images_with_faces/1013922_533415_image.jpeg,Neutral,0.794,0.0546,0.1286,0.0228,0.794
Sample_Dataset/Reichel/images_with_faces/1013926_533419_image.jpeg,Neutral,0.9731,0.0219,0.0036,0.0014,0.9731
Sample_Dataset/Reichel/images_with_faces/1013982_533472_image.jpeg,Neutral,0.8138,0.1437,0.0026,0.0399,0.8138
Sample_Dataset/Reichel/images_with_faces/1013987_533477_image.jpeg,Neutral,0.5091,0.4486,0.0289,0.0134,0.5091
Sample_Dataset/Reichel/images_with_faces/1013988_533478_image.jpeg,Neutral,0.9472,0.0301,0.0097,0.0129,0.9472
Sample_Dataset/Reichel/images_with_faces/1014016_533499_image.jpeg,Optimistic,0.5865,0.5865,0.0416,0.2407,0.1313
Sample_Dataset/Reichel/images_with_faces/1014125_533584_image.jpeg,Neutral,0.7933,0.084,0.0319,0.0907,0.7933
Sample_Dataset/Reichel/images_with_faces/1014216_533686_image.jpeg,Neutral,0.6998,0.0567,0.2303,0.0132,0.6998
Sample_Dataset/Reichel/images_with_faces/1014356_533749_image.jpeg,Optimistic,0.9146,0.9146,0.0563,0.0031,0.026
Sample_Dataset/Reichel/images_with_faces/1014632_533947_image.jpeg,Hostile,0.5672,0.3187,0.0275,0.5672,0.0866
Sample_Dataset/Reichel/images_with_faces/1014644_533950_image.jpeg,Optimistic,0.8965,0.8965,0.0066,0.0151,0.0819
