image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1009509_529641_image.jpeg,Pessimistic,0.5627,0.2176,0.5627,0.0759,0.1438
Sample_Dataset/Reichel/images_with_faces/1009522_529644_image.jpeg,Optimistic,0.9738,0.9738,0.0006,0.0217,0.0039
Sample_Dataset/Reichel/images_with_faces/1009580_529693_image.jpeg,Optimistic,0.9263,0.9263,0.0002,0.0006,0.0729
Sample_Dataset/Reichel/images_with_faces/1009581_529694_image.jpeg,Neutral,0.6357,0.3628,0.0005,0.001,0.6357
Sample_Dataset/Reichel/images_with_faces/1009596_529701_image.jpeg,Neutral,0.6033,0.1136,0.2389,0.0442,0.6033
Sample_Dataset/Reichel/images_with_faces/1009597_529702_image.jpeg,Optimistic,0.8641,0.8641,0.0099,0.1118,0.0142
Sample_Dataset/Reichel/images_with_faces/1009611_529708_image.jpeg,Optimistic,0.5653,0.5653,0.0125,0.3603,0.0618
Sample_Dataset/Reichel/images_with_faces/1013149_532839_image.jpeg,Optimistic,0.9922,0.9922,0.0004,0.0002,0.0071
Sample_Dataset/Reichel/images_with_faces/1013836_533333_image.jpeg,Neutral,0.5616,0.3014,0.0,0.137,0.5616
Sample_Dataset/Reichel/images_with_faces/1013871_533363_image.jpeg,Optimistic,0.9311,0.9311,0.0012,0.0059,0.0618
Sample_Dataset/Reichel/images_with_faces/1013883_533376_image.jpeg,Neutral,0.9377,0.0413,0.0134,0.0076,0.9377
Sample_Dataset/Reichel/images_with_faces/1013910_533403_image.jpeg,Neutral,0.811,0.0588,0.0863,0.0439,0.811
Sample_Dataset/Reichel/images_with_faces/1013912_533405_image.jpeg,Neutral,0.8607,0.0131,0.0109,0.1153,0.8607
Sample_Dataset/Reichel/images_with_faces/1013916_533409_image.jpeg,Neutral,0.8792,0.1083,0.0109,0.0016,0.8792
Sample_Dataset/Reichel/images_with_faces/1013922_533415_image.jpeg,Neutral,0.8678,0.1027,0.0095,0.0201,0.8678
Sample_Dataset/Reichel/images_with_faces/1013926_533419_image.jpeg,Neutral,0.888,0.106,0.0006,0.0054,0.888
Sample_Dataset/Reichel/images_with_faces/1013982_533472_image.jpeg,Neutral,0.8266,0.1467,0.0015,0.0252,0.8266
Sample_Dataset/Reichel/images_with_faces/1013987_533477_image.jpeg,Neutral,0.9699,0.0276,0.0003,0.0022,0.9699
Sample_Dataset/Reichel/images_with_faces/1013988_533478_image.jpeg,Neutral,0.8852,0.1127,0.0002,0.0019,0.8852
Sample_Dataset/Reichel/images_with_faces/1014016_533499_image.jpeg,Neutral,0.437,0.2227,0.0548,0.2856,0.437
Sample_Dataset/Reichel/images_with_faces/1014125_533584_image.jpeg,Neutral,0.7644,0.1988,0.0362,0.0006,0.7644
Sample_Dataset/Reichel/images_with_faces/1014216_533686_image.jpeg,Neutral,0.8905,0.0754,0.0274,0.0067,0.8905
Sample_Dataset/Reichel/images_with_faces/1014356_533749_image.jpeg,Optimistic,0.9601,0.9601,0.0073,0.0017,0.0309
Sample_Dataset/Reichel/images_with_faces/1014632_533947_image.jpeg,Hostile,0.8214,0.049,0.0018,0.8214,0.1277
Sample_Dataset/Reichel/images_with_faces/1014644_533950_image.jpeg,Optimistic,0.9138,0.9138,0.0008,0.0033,0.0821
Sample_Dataset/Reichel/images_with_faces/1014659_533957_image.jpeg,Neutral,0.7715,0.221,0.0065,0.001,0.7715
Sample_Dataset/Reichel/images_with_faces/1014845_534087_image.jpeg,Optimistic,0.9964,0.9964,0.0028,0.0003,0.0005
Sample_Dataset/Reichel/images_with_faces/1014847_534089_image.jpeg,Optimistic,0.9872,0.9872,0.0058,0.0048,0.0022
Sample_Dataset/Reichel/images_with_faces/1014865_534090_image.jpeg,Unknown,0.347,0.347,0.1401,0.3281,0.1848
Sample_Dataset/Reichel/images_with_faces/1014870_534091_image.jpeg,Optimistic,0.4967,0.4967,0.0445,0.2698,0.189
Sample_Dataset/Reichel/images_with_faces/1014989_534200_image.jpeg,Neutral,0.5953,0.1079,0.2527,0.0441,0.5953
Sample_Dataset/Reichel/images_with_faces/1014990_534201_image.jpeg,Pessimistic,0.6941,0.2893,0.6941,0.0049,0.0117
Sample_Dataset/Reichel/images_with_faces/1018453_536560_image.jpeg,Neutral,0.5108,0.4859,0.0007,0.0026,0.5108
Sample_Dataset/Reichel/images_with_faces/1018454_536561_image.jpeg,Neutral,0.8724,0.1205,0.0027,0.0044,0.8724
Sample_Dataset/Reichel/images_with_faces/1018471_536575_image.jpeg,Neutral,0.4732,0.2365,0.2601,0.0302,0.4732
Sample_Dataset/Reichel/images_with_faces/1018474_536578_image.jpeg,Optimistic,0.9898,0.9898,0.0003,0.0036,0.0063
Sample_Dataset/Reichel/images_with_faces/1018491_536596_image.jpeg,Optimistic,0.997,0.997,0.0,0.0001,0.0028
Sample_Dataset/Reichel/images_with_faces/1018518_536618_image.jpeg,Hostile,0.9695,0.0072,0.0032,0.9695,0.0202
Sample_Dataset/Reichel/images_with_faces/1018621_536677_image.jpeg,Neutral,0.8853,0.0446,0.0013,0.0689,0.8853
Sample_Dataset/Reichel/images_with_faces/1018737_536755_image.jpeg,Optimistic,0.9817,0.9817,0.001,0.0017,0.0155
Sample_Dataset/Reichel/images_with_faces/1018874_536864_image.jpeg,Neutral,0.8111,0.0756,0.0269,0.0864,0.8111
Sample_Dataset/Reichel/images_with_faces/1021938_539104_image.jpeg,Optimistic,0.755,0.755,0.0076,0.0023,0.235
Sample_Dataset/Reichel/images_with_faces/1021954_539117_image.jpeg,Neutral,0.6272,0.3306,0.0363,0.006,0.6272
Sample_Dataset/Reichel/images_with_faces/1022231_539310_image.jpeg,Optimistic,0.9846,0.9846,0.0,0.0,0.0154
Sample_Dataset/Reichel/images_with_faces/1022273_539331_image.jpeg,Optimistic,0.6948,0.6948,0.0005,0.0001,0.3046
Sample_Dataset/Reichel/images_with_faces/1022337_539369_image.jpeg,Hostile,0.964,0.0337,0.0007,0.964,0.0016
Sample_Dataset/Reichel/images_with_faces/1022342_539374_image.jpeg,Neutral,0.8614,0.0247,0.0966,0.0172,0.8614
Sample_Dataset/Reichel/images_with_faces/1022586_539467_image.jpeg,Pessimistic,0.9711,0.0008,0.9711,0.0072,0.021
Sample_Dataset/Reichel/images_with_faces/1025202_540946_image.jpeg,Optimistic,0.9295,0.9295,0.0174,0.0061,0.047
Sample_Dataset/Reichel/images_with_faces/1025226_540964_image.jpeg,Optimistic,0.9998,0.9998,0.0,0.0001,0.0001
Sample_Dataset/Reichel/images_with_faces/1025233_540969_image.jpeg,Neutral,0.6153,0.3052,0.0015,0.0779,0.6153
Sample_Dataset/Reichel/images_with_faces/1025313_541025_image.jpeg,Neutral,0.5535,0.0335,0.1586,0.2544,0.5535
Sample_Dataset/Reichel/images_with_faces/1025403_541058_image.jpeg,Optimistic,0.9932,0.9932,0.0,0.0011,0.0057
Sample_Dataset/Reichel/images_with_faces/1025520_541129_image.jpeg,Optimistic,0.9299,0.9299,0.0182,0.0471,0.0048
Sample_Dataset/Reichel/images_with_faces/1026958_542103_image.jpeg,Neutral,0.999,0.0004,0.0005,0.0001,0.999
Sample_Dataset/Reichel/images_with_faces/1027173_542244_image.jpeg,Neutral,0.7823,0.0633,0.016,0.1383,0.7823
Sample_Dataset/Reichel/images_with_faces/1027266_542286_image.jpeg,Pessimistic,0.9989,0.0003,0.9989,0.0001,0.0007
Sample_Dataset/Reichel/images_with_faces/1027267_542287_image.jpeg,Optimistic,0.7246,0.7246,0.0003,0.0003,0.2748
Sample_Dataset/Reichel/images_with_faces/1027270_542288_image.jpeg,Neutral,0.967,0.0306,0.0006,0.0018,0.967
Sample_Dataset/Reichel/images_with_faces/1028530_543196_image.jpeg,Neutral,0.9888,0.0099,0.0004,0.0009,0.9888
Sample_Dataset/Reichel/images_with_faces/1029912_544030_image.jpeg,Neutral,0.9789,0.0208,0.0001,0.0002,0.9789
Sample_Dataset/Reichel/images_with_faces/1029914_544032_image.jpeg,Hostile,0.6525,0.2413,0.0643,0.6525,0.0418
Sample_Dataset/Reichel/images_with_faces/1029922_544040_image.jpeg,Neutral,0.9884,0.0061,0.0007,0.0047,0.9884
Sample_Dataset/Reichel/images_with_faces/1029927_544045_image.jpeg,Neutral,0.8644,0.1291,0.0004,0.0061,0.8644
Sample_Dataset/Reichel/images_with_faces/1029934_544052_image.jpeg,Neutral,0.8347,0.1182,0.0085,0.0386,0.8347
Sample_Dataset/Reichel/images_with_faces/1029936_544055_image.jpeg,Neutral,0.998,0.0019,0.0001,0.0001,0.998
Sample_Dataset/Reichel/images_with_faces/1029985_544073_image.jpeg,Pessimistic,0.8366,0.0005,0.8366,0.1447,0.0182
Sample_Dataset/Reichel/images_with_faces/1029987_544075_image.jpeg,Optimistic,0.8058,0.8058,0.0366,0.0953,0.0622
Sample_Dataset/Reichel/images_with_faces/1029989_544077_image.jpeg,Neutral,0.9614,0.0278,0.0,0.0108,0.9614
Sample_Dataset/Reichel/images_with_faces/1029994_544079_image.jpeg,Neutral,0.9503,0.0495,0.0,0.0002,0.9503
Sample_Dataset/Reichel/images_with_faces/1030006_544088_image.jpeg,Optimistic,0.8692,0.8692,0.012,0.016,0.1028
Sample_Dataset/Reichel/images_with_faces/1030007_544089_image.jpeg,Neutral,0.9728,0.0177,0.0,0.0094,0.9728
Sample_Dataset/Reichel/images_with_faces/1030015_544096_image.jpeg,Hostile,0.8817,0.0397,0.0144,0.8817,0.0641
Sample_Dataset/Reichel/images_with_faces/1030030_544111_image.jpeg,Neutral,0.6715,0.3082,0.0039,0.0164,0.6715
Sample_Dataset/Reichel/images_with_faces/1030413_544366_image.jpeg,Neutral,0.9322,0.056,0.0002,0.0116,0.9322
Sample_Dataset/Reichel/images_with_faces/1030488_544413_image.jpeg,Optimistic,0.8721,0.8721,0.0023,0.0094,0.1162
Sample_Dataset/Reichel/images_with_faces/1031681_545590_image.jpeg,Pessimistic,0.9983,0.0013,0.9983,0.0001,0.0003
Sample_Dataset/Reichel/images_with_faces/1038935_547280_image.jpeg,Neutral,0.8672,0.0757,0.0,0.0571,0.8672
Sample_Dataset/Reichel/images_with_faces/1038937_547282_image.jpeg,Neutral,0.83,0.1324,0.0049,0.0327,0.83
Sample_Dataset/Reichel/images_with_faces/1038941_547286_image.jpeg,Optimistic,0.8707,0.8707,0.0005,0.0627,0.0661
Sample_Dataset/Reichel/images_with_faces/1038948_547293_image.jpeg,Optimistic,0.8618,0.8618,0.0023,0.0128,0.1232
Sample_Dataset/Reichel/images_with_faces/1038949_547294_image.jpeg,Neutral,0.939,0.0603,0.0,0.0007,0.939
Sample_Dataset/Reichel/images_with_faces/1038951_547296_image.jpeg,Optimistic,0.6768,0.6768,0.0948,0.0248,0.2035
Sample_Dataset/Reichel/images_with_faces/1038953_547298_image.jpeg,Pessimistic,0.8784,0.0871,0.8784,0.0152,0.0193
Sample_Dataset/Reichel/images_with_faces/1038954_547299_image.jpeg,Optimistic,0.4791,0.4791,0.0671,0.0104,0.4434
Sample_Dataset/Reichel/images_with_faces/1038955_547300_image.jpeg,Neutral,0.9491,0.0414,0.0046,0.0049,0.9491
Sample_Dataset/Reichel/images_with_faces/1038956_547301_image.jpeg,Optimistic,0.859,0.859,0.0022,0.0009,0.1379
Sample_Dataset/Reichel/images_with_faces/1038959_547304_image.jpeg,Optimistic,0.9994,0.9994,0.0,0.0002,0.0004
Sample_Dataset/Reichel/images_with_faces/1038964_547309_image.jpeg,Neutral,0.9705,0.0287,0.0002,0.0006,0.9705
Sample_Dataset/Reichel/images_with_faces/1039000_547341_image.jpeg,Unknown,0.3431,0.3206,0.3431,0.1315,0.2048
Sample_Dataset/Reichel/images_with_faces/1039005_547345_image.jpeg,Neutral,0.978,0.0213,0.0,0.0008,0.978
Sample_Dataset/Reichel/images_with_faces/1039012_547352_image.jpeg,Optimistic,0.9899,0.9899,0.0013,0.0029,0.006
Sample_Dataset/Reichel/images_with_faces/1039033_547377_image.jpeg,Pessimistic,0.9961,0.0017,0.9961,0.0009,0.0013
Sample_Dataset/Reichel/images_with_faces/1039034_547378_image.jpeg,Neutral,0.9791,0.0195,0.0,0.0014,0.9791
Sample_Dataset/Reichel/images_with_faces/1039056_547397_image.jpeg,Optimistic,0.5145,0.5145,0.0195,0.1296,0.3365
Sample_Dataset/Reichel/images_with_faces/1039066_547406_image.jpeg,Optimistic,0.887,0.887,0.0001,0.0005,0.1124
Sample_Dataset/Reichel/images_with_faces/1039089_547418_image.jpeg,Neutral,0.4984,0.4078,0.0001,0.0937,0.4984
Sample_Dataset/Reichel/images_with_faces/1039243_547478_image.jpeg,Optimistic,0.7568,0.7568,0.206,0.0012,0.036
Sample_Dataset/Reichel/images_with_faces/1039268_547490_image.jpeg,Optimistic,0.9886,0.9886,0.0001,0.0002,0.0111
Sample_Dataset/Reichel/images_with_faces/1039301_547504_image.jpeg,Pessimistic,0.5562,0.3336,0.5562,0.0036,0.1067
Sample_Dataset/Reichel/images_with_faces/1039389_547564_image.jpeg,Optimistic,0.9952,0.9952,0.0,0.0001,0.0048
Sample_Dataset/Reichel/images_with_faces/1039390_547565_image.jpeg,Neutral,0.5049,0.493,0.0015,0.0006,0.5049
Sample_Dataset/Reichel/images_with_faces/1039423_547571_image.jpeg,Optimistic,0.5585,0.5585,0.0002,0.007,0.4342
Sample_Dataset/Reichel/images_with_faces/1039425_547572_image.jpeg,Neutral,0.5146,0.1482,0.0557,0.2815,0.5146
Sample_Dataset/Reichel/images_with_faces/1039426_547573_image.jpeg,Optimistic,0.5465,0.5465,0.0001,0.0006,0.4527
Sample_Dataset/Reichel/images_with_faces/1039427_547574_image.jpeg,Optimistic,0.9743,0.9743,0.0051,0.0077,0.0129
Sample_Dataset/Reichel/images_with_faces/1040474_548429_image.jpeg,Optimistic,0.8749,0.8749,0.0001,0.0095,0.1156
Sample_Dataset/Reichel/images_with_faces/1040475_548430_image.jpeg,Optimistic,0.9338,0.9338,0.0006,0.0005,0.0651
Sample_Dataset/Reichel/images_with_faces/1040478_548433_image.jpeg,Neutral,0.9437,0.0561,0.0001,0.0002,0.9437
Sample_Dataset/Reichel/images_with_faces/1040490_548445_image.jpeg,Neutral,0.9938,0.0034,0.0002,0.0025,0.9938
Sample_Dataset/Reichel/images_with_faces/1040494_548449_image.jpeg,Neutral,0.6227,0.1681,0.0589,0.1503,0.6227
Sample_Dataset/Reichel/images_with_faces/1040521_548478_image.jpeg,Unknown,0.3804,0.2749,0.0015,0.3433,0.3804
Sample_Dataset/Reichel/images_with_faces/1040528_548484_image.jpeg,Optimistic,0.6814,0.6814,0.0022,0.0126,0.3037
Sample_Dataset/Reichel/images_with_faces/1040539_548496_image.jpeg,Neutral,0.7582,0.1596,0.0152,0.0669,0.7582
Sample_Dataset/Reichel/images_with_faces/1040592_548525_image.jpeg,Neutral,0.9311,0.0538,0.0004,0.0146,0.9311
Sample_Dataset/Reichel/images_with_faces/1040599_548530_image.jpeg,Neutral,0.9188,0.0709,0.0,0.0103,0.9188
Sample_Dataset/Reichel/images_with_faces/1040627_548545_image.jpeg,Hostile,0.5326,0.0359,0.3416,0.5326,0.09
Sample_Dataset/Reichel/images_with_faces/1040697_548584_image.jpeg,Hostile,0.9967,0.0001,0.0003,0.9967,0.0029
Sample_Dataset/Reichel/images_with_faces/1040946_548701_image.jpeg,Optimistic,0.5597,0.5597,0.0057,0.0952,0.3393
Sample_Dataset/Reichel/images_with_faces/1041111_548796_image.jpeg,Neutral,0.9846,0.0089,0.0015,0.005,0.9846
Sample_Dataset/Reichel/images_with_faces/1041191_548853_image.jpeg,Neutral,0.6898,0.2459,0.0032,0.0611,0.6898
Sample_Dataset/Reichel/images_with_faces/1041497_549040_image.jpeg,Optimistic,0.5852,0.5852,0.0081,0.1339,0.2728
Sample_Dataset/Reichel/images_with_faces/1041510_549046_image.jpeg,Optimistic,0.8511,0.8511,0.0002,0.0002,0.1485
Sample_Dataset/Reichel/images_with_faces/1041512_549048_image.jpeg,Optimistic,0.9996,0.9996,0.0,0.0001,0.0003
Sample_Dataset/Reichel/images_with_faces/1041568_549081_image.jpeg,Optimistic,0.8963,0.8963,0.0088,0.0259,0.0689
Sample_Dataset/Reichel/images_with_faces/1041574_549088_image.jpeg,Pessimistic,0.5202,0.0795,0.5202,0.0153,0.385
Sample_Dataset/Reichel/images_with_faces/1044342_550969_image.jpeg,Pessimistic,0.989,0.0014,0.989,0.0082,0.0014
Sample_Dataset/Reichel/images_with_faces/1044998_551536_image.jpeg,Neutral,0.9869,0.013,0.0,0.0001,0.9869
Sample_Dataset/Reichel/images_with_faces/1045004_551541_image.jpeg,Neutral,0.9905,0.0087,0.0,0.0008,0.9905
Sample_Dataset/Reichel/images_with_faces/1045011_551547_image.jpeg,Optimistic,0.9964,0.9964,0.0,0.0011,0.0024
Sample_Dataset/Reichel/images_with_faces/1045023_551559_image.jpeg,Neutral,0.9801,0.0154,0.0001,0.0044,0.9801
Sample_Dataset/Reichel/images_with_faces/1045062_551598_image.jpeg,Neutral,0.9426,0.0559,0.0001,0.0014,0.9426
Sample_Dataset/Reichel/images_with_faces/1045070_551606_image.jpeg,Optimistic,0.9964,0.9964,0.0001,0.0007,0.0028
